Tên sản phẩm,Số sao,Xuất xứ,Loại sản phẩm,Hệ thống phân phối,Từ khóa,Trang Web,Mô tả
Hành tím muối chua bà Mai,4,Bắc Ninh,Thực phẩm chế biến,"Trong và ngoài tỉnh, sàn thương mại điện tử","Hành tím muối chua bà Mai, Hành tím muối, OCOP 4 sao, OCOP Bắc Ninh",,"Hành tím muối chua bà Mai được làm từ hành tím Lý Sơn, cà rốt, ớt, đường, muối và giấm; ăn giòn, có vị chua ngọt. Sản phẩm đã được chứng nhận đạt OCOP 4 sao năm 2024 của tỉnh Bắc Ninh."
Gạo sạch Lệ Thủy,3,Quảng Bình,,"Sàn thương mại điện tử, siêu thị, hội chợ, các đại lý...","Gạo sạch Lệ Thủy, đặc sản Quảng Bình, OCOP Quảng Bình, OCOP 3 sao",,"Gạo sạch Lệ Thủy là sản phẩm của chuỗi sản xuất lúa gạo sạch an toàn với quy trình sản xuất được kiểm soát, kiểm định chặt chẽ từ vùng nguyên liệu, giống, chăm sóc, thu hoạch, lưu trữ, chế biến... có chất lượng ngon, giàu vitamin và dưỡng chất thiết yếu. Sản phẩm của Hợp tác xã đã đạt chứng nhận OCOP 3 sao của tỉnh Quảng Bình."
Dầu lạc Trường Thủy,3,Quảng Bình,Dầu ăn,"Sàn thương mại điện tử, siêu thị, hội chợ, các đại lý...","Dầu lạc Trường Thủy, đặc sản Quảng Bình, OCOP 3 sao, OCOP Quảng Bình",,"Dầu lạc nguyên chất Trường Thủy được chế biến hoàn toàn từ hạt lạc qua quy trình sản xuất khép kín đã được chứng nhận vệ sinh an toàn thực phẩm. Đầu có màu vàng rơm, mùi thơm và vị thơm béo đặc trưng của lạc. Sản phẩm đạt chứng nhận OCOP 3 sao của tỉnh Quảng Bình."
Mật ong hoa rừng xã Thanh Hóa,3,Quảng Bình,Mật ong,"cơ sở sản xuất, các đại lý, sàn thương mại điện tử","mật ong, Mật ong hoa rừng xã Thanh Hóa, đặc sản Quảng Bình, OCOP Quảng Bình, OCOP 3 sao",,"Mật ong hoa rừng xã Thanh Hóa được áp dụng quy trình sản xuất hiện đại, từ kỹ thuật nuôi và chăm sóc phát triển đàn ong đến quy trình lấy mật, bảo đảm vệ sinh an toàn thực phẩm; có nhiều lợi ích cho sức khỏe: kháng khuẩn, kháng viêm, cải thiện tiêu hóa, tăng cường miễn dịch, chữa lành vết thương... Sản phẩm đạt chứng nhận OCOP 3 sao của tỉnh Quảng Bình."
Cải ngọt,3,Bình Dương,Rau cải,"Cơ sở sản xuất, kênh bán hàng truyền thống, thương mại điện tử","cải ngọt, OCOP Bình Dương, OCOP 3 sao",,"Hợp tác xã dịch vụ nông nghiệp Thạnh Hội được coi là một trong những mô hình sản xuất rau an toàn tiêu biểu tại xã Thạnh Hội, tỉnh Bình Dương, đặc biệt là cây cải ngọt. Cải ngọt có chất aibumin, chất đường, vitamin B1, axít bốc hơi, axít pamic, coban, iốt. Rễ và lá có nhiều chất kiềm thúc đẩy sự tiêu hóa, thúc đẩy cơ thể tiếp thu aibumin bảo vệ gan, chống mỡ trong gan. Sản phẩm cải ngọt đã được tỉnh Bình Dương cấp chứng nhận OCOP 3 sao."
Cá bờm trắng Hải Ninh,4,Quảng Bình,Cá biển,"Sàn thương mại điện tử, siêu thị, hội chợ, các đại lý...","Cá bờm trắng Hải Ninh, đặc sản Quảng Bình, OCOP 4 sao, OCOP Quảng Bình",,"Cá bờm trắng Hải Ninh có mùi thơm đặc trưng, vị ngọt và bảo đảm an toàn vệ sinh thực phẩm, thích hợp chế biến các món ăn, món nhậu hoặc các thực phẩm đóng hộp rất ngon. Sản phẩm đạt chứng nhận OCOP 4 sao của tỉnh Quảng Bình năm 2021."
Nước mắm Duy Trinh,4,Quảng Nam,,"https://www.duytrinh.vn/, cơ sở sản xuất, kênh bán hàng truyền thống và thương mại điện tử","nước mắm Duy Trinh, OCOP Quảng Nam, OCOP 4 sao, đặc sản Quảng Nam, nước mắm",https://www.duytrinh.vn,"Làng nghề làm nước mắm truyền thống thôn An Lương (tỉnh Quảng Nam) đã hình thành từ thế kỷ 19 và được gìn giữ, phát triển cho đến ngày nay. Trong đó, nước mắm Duy Trinh là một trong những cơ sở còn sản xuất nước mắm truyền thống với sản phẩm đạt chứng nhận OCOP 4 sao năm 2020."
Sầu riêng sấy thăng hoa Fungi,4,Cần Thơ,Sầu riêng,"https://duocthaofungi.com/, kênh bán hàng truyền thống và thương mại điện tử","Sầu riêng sấy thăng hoa Fungi, sầu riêng, OCOP Cần Thơ, OCOP 4 sao, Dược thảo Fungi",https://duocthaofungi.com/,"Sầu riêng sấy thăng hoa của Công ty Cổ phần Dược thảo Fungi được chế biến từ quả sầu riêng tươi ngon, qua công nghệ sấy thăng hoa giữ nguyên hương vị và giá trị dinh dưỡng, cung cấp năng lượng và dưỡng chất, giúp bổ sung vitamin cho cơ thể. Sản phẩm được cấp chứng nhận OCOP 4 sao của thành phố Cần Thơ năm 2023."
Nước mắm Long Tám,3,Quảng Bình,,"Sàn thương mại điện tử, siêu thị, hội chợ, các đại lý...","Nước mắm Long Tám, đặc sản Quảng Bình, OCOP Quảng Bình, OCOP 3 sao, nước mắm",,"Nước mắm Long Tám là sản phẩm nổi tiếng, xuất xứ từ xã Bảo Ninh, thành phố Đồng Hới, tỉnh Quảng Bình. Sản phẩm sở hữu hương vị đặc trưng, thơm ngon đậm đà. Đặc biệt là chiết xuất 100% tự nhiên từ cá biển tươi sống. Sản phẩm đạt chứng nhận OCOP 3 sao của tỉnh Quảng Bình."
Dưa lưới sấy thăng hoa Fungi,4,Cần Thơ,Dưa lưới,"https://duocthaofungi.com/, kênh bán hàng truyền thống và thương mại điện tử","Dưa lưới sấy thăng hoa Fungi, OCOP 4 sao, OCOP Cần Thơ, dưa lưới, Dược thảo Fungi",https://duocthaofungi.com/,"Dưa lưới sấy thăng hoa của Công ty Cổ phần Dược thảo Fungi được làm từ dưa lưới tươi ngon, được chế biến qua công nghệ sấy thăng hoa giúp giữ nguyên dinh dưỡng, hương vị và màu sắc tự nhiên; không chứa chất bảo quản hay phẩm màu. Sản phẩm được công nhận OCOP 4 sao của thành phố Cần Thơ năm 2023."
Bánh tráng phim Hạnh Tính,3,Bắc Ninh,Bánh đa nem,"Trong và ngoài tỉnh, sàn thương mại điện tử","Bánh tráng phim Hạnh Tính, Bánh tráng phim, OCOP 3 sao, OCOP Bắc Ninh, bánh đa nem",,"Bánh tráng phim Hạnh Tính dùng để cuốn chả giò, nem rán. Bánh khi chiên có màu vàng ruộm, giòn xốp kể cả khi để nguội. Sản phẩm đã được chứng nhận đạt OCOP 3 sao năm 2024 của huyện Yên Phong, tỉnh Bắc Ninh."
Tinh bột nghệ đỏ Vân Di,3,Quảng Bình,Tinh bột nghệ,"Sàn thương mại điện tử, siêu thị, hội chợ, các đại lý...","Tinh bột nghệ đỏ Vân Di, tinh bột nghệ, đặc sản Quảng Bình, OCOP 3 sao, OCOP Quảng Bình",https://www.tinhbotnghedovandi.com/,"Tinh bột nghệ đỏ Vân Di được chiết xuất từ củ nghệ tươi trồng tại Quảng Bình, thành phần chứa hoạt chất Curcumin khá cao, có tác dụng hỗ trợ điều trị bệnh viêm loét dạ dày, tốt cho sức khỏe, đem lại một làn da đẹp... Sản phẩm đạt chứng nhận OCOP 3 sao của tỉnh Quảng Bình ngày 2/4/2021."
Đông trùng hạ thảo Narasa,4,Thành phố Huế,Đông trùng hạ thảo,"https://narasa.vn/, cơ sở sản xuất, kênh bán hàng truyền thống và thương mại điện tử","đông trùng hạ thảo, đông trùng hạ thảo Narasa, OCOP Huế, OCOP 4 sao",https://narasa.vn/,"Đông trùng hạ thảo Narasa làm từ hai loại dược liệu vô cùng quý giá: Đông trùng hạ thảo và tổ yến. Đây đều là những thứ có giá trị dinh dưỡng cực kỳ cao giúp bồi dưỡng sức khỏe, đẹp da, chống lão hóa, tăng cường sức lực và là quà tặng cao cấp."
Bánh hỏi mặt võng Út Dzách,4,Cần Thơ,Bánh,,"Bánh hỏi mặt võng Út Dzách, bánh hỏi, OCOP Cần Thơ, OCOP 4 sao, đặc sản Cần Thơ",,"Bánh hỏi mặt võng có vị ngọt, mặn, miếng bánh trong, dai và không dùng chất phụ gia, ăn cùng với thịt nướng kim tiền nóng hổi, ít rau sống thơm nồng chấm với nước chấm. Vị ngọt thơm tự nhiên của bánh hỏi hòa quyện cùng vị đậm đà của thịt nướng đem đến cho thực khách cảm nhận được vị béo vừa phải mà không ngán. Sản phẩm đã được thành phố Cần Thơ cấp chứng nhận OCOP 4 sao năm 2023."
Cháo tổ yến rong biển hương vị thịt bằm,3,Bình Dương,Thực phẩm chế biến,"https://congtytruongtho.com/, cơ sở sản xuất, kênh bán hàng truyền thống và thương mại điện tử","Cháo tổ yến rong biển hương vị thịt bằm, OCOP BÌnh Dương, OCOP 4 sao, cháo, Ngũ cốc Trường Thọ",https://congtytruongtho.com/,"Cháo tổ yến rong biển hương vị thịt bằm ngon từ nguyên liệu tự nhiên, khi chín hương vị cháo đậm đà, kích thích vị giác, phù hợp khẩu vị của đa số người tiêu dùng. Sản phẩm của Công ty TNHH Ngũ cốc Trường Thọ được công nhận OCOP 3 sao năm 2024."
Vang Bạch Mã,4,Thành phố Huế,Rượu vang,"Website cơ sở sản xuất, các kênh bán lẻ và sàn thương mại điện tử","Vang Bạch Mã, Vang Bạch Mã đỏ, rượu vang, OCOP Huế, OCOP 4 sao",https://vanghue.vn/,"Vang Bạch Mã đỏ Vang Bạch Mã đỏ có vị chua hài hòa, thanh mát. Thay vì sử dụng trái nho làm thành phần chính như những chai rượu vang đỏ khác có mặt trên thị trường thì vang đỏ Bạch mã lại tận dụng trái vả - đặc sản của Huế. Sản phẩm đã được công nhận OCOP 4 sao của thành phố Huế."
Sữa chua sấy thăng hoa,4,Cần Thơ,Sữa chua,"https://duocthaofungi.com/, kênh bán hàng truyền thống và thương mại điện tử","sữa chua sấy, OCOP Cần Thơ, OCOP 4 sao, Dược thảo Fungi",https://duocthaofungi.com/,"Sữa chua sấy thăng hoa của Công ty Cổ phần Dược thảo Fungi được chế biến từ sữa bò tươi, men Streptococcus thermophilus, lactobacillus bulgaricus, enzym lactase. Đây là món ăn vặt bổ dưỡng, giàu năng lượng và dưỡng chất, an toàn tuyệt đối, không chứa chất bảo quản, không phụ gia, không hương liệu. Sản phẩm được công nhận OCOP 4 sao của thành phố Cần Thơ năm 2023."
Bánh mè xát Tân An,3,Quảng Bình,Bánh,"Sàn thương mại điện tử, siêu thị, hội chợ, các đại lý...","Bánh mè xát Tân An, đặc sản Quảng Bình, OCOP 3 sao, OCOP Quảng Bình",,"Bánh mè xát Tân An được làm từ những nguyên liệu chọn lọc kỹ lưỡng, tạo nên những chiếc bánh có vị kết hợp hài hòa giữa mùi thơm của gạo và vị bùi ngậy của hạt mè. Sản phẩm đã được công nhận OCOP 3 sao của tỉnh Quảng Bình."
Khoai gieo Hải Ninh Linh Huệ,3,Quảng Bình,Khoai,"Sàn thương mại điện tử, siêu thị, hội chợ, các đại lý...","đặc sản Quảng Bình, OCOP 3 sao, OCOP Quảng Bình, khoai gieo Hải Ninh Linh Huệ, khoai gieo",,"Khoai gieo Hải Ninh của Công ty TNHH Linh Huệ là đặc sản Quảng Bình ngon, ngọt, mềm, dai dẻo không bị cứng đơ. Khi thưởng thức, bạn sẽ thấy độ dẻo cùng vị ngọt lan tỏa trong cổ họng. Sản phẩm đạt chứng nhận OCOP 3 sao của tỉnh Quảng Bình."
Chuối già,3,Bình Dương,Chuối,"cơ sở sản xuất, các đại lý, sàn thương mại điện tử","chuối già, OCOP Bình Dương, OCOP 3 sao, đặc sản Bình Dương",,"Chuối già có hương vị thơm ngon mà còn cung cấp nhiều chất dinh dưỡng, tốt cho sức khỏe. Sản phẩm chuối già của Công ty TNHH An Điền đã được tỉnh Bình Dương công nhận OCOP 3 sao."
Mực viên Hàn Quốc,3,Bình Dương,Chả mực,"https://lcfoods.vn/, cơ sở sản xuất, kênh bán hàng truyền thống và thương mại điện tử","OCOP 3 sao, OCOP Bình Dương, LC Foods, Mực viên Hàn Quốc",https://lcfoods.vn/,"Mực viên Hàn Quốc kết hợp các thành phần thịt cá và mực chế biến cùng gia vị phối trộn lại với nhau, tạo nên những viên mực tròn có độ mềm dai sần sật, không mang cảm giác gây ngán của bột. Sản phẩm có dạng tròn với kích thước to vừa ăn, có thể dùng làm nguyên liệu để nấu được nhiều món ăn như phở, hủ tiếu, canh soup, thả lẩu… Sản phẩm được công nhận OCOP 3 sao năm 2023."
Nước yến cao cấp đường phèn,3,Bình Dương,Yến sào,"https://yensaovietnam-vietnest.com/, cơ sở sản xuất, kênh bán hàng truyền thống và thương mại điện tử","Nước yến cao cấp đường phèn, OCOP Bình Dương, OCOP 3 sao",https://yensaovietnam-vietnest.com/,"Nước yến cao cấp đường phèn với thành phần tổ yến thiên nhiên, đường phèn, nước tinh khiết. Sản phẩm giúp bổ phổi, hỗ trợ chữa các bệnh về đường hô hấp, tăng cường sức đề kháng, điều hòa khí huyết... Sản phẩm này của Công ty TNHH Thương mại sản xuất Yến sào Việt Nam-Chi nhánh Tân Uyên được tỉnh Bình Dương cấp chứng nhận OCOP 3 sao."
Cháo đậu xanh hương vị sườn non,3,Bình Dương,Thực phẩm chế biến,"https://congtytruongtho.com/, cơ sở sản xuất, kênh bán hàng truyền thống và thương mại điện tử","Cháo đậu xanh hương vị sườn non, OCOP Bình Dương, cháo, Ngũ cốc Trường Thọ, OCOP 3 sao",https://congtytruongtho.com/,"Cháo đậu xanh hương vị sườn non là sản phẩm ăn liền được chế biến từ gạo, thịt sườn non, đậu xanh, gia vị, muối... bảo đảm đến tay người tiêu dùng những sản phẩm đạt chất lượng cao. Sản phẩm của Công ty TNHH Ngũ cốc Trường Thọ được công nhận OCOP 3 sao năm 2024."
Phở tươi thịt bò hầm,3,Bình Dương,"Bún, phở",https://kmsvina.com/ các hệ thống siêu thị trên toàn quốc.,"Phở tươi thịt bò hầm, phở, OCOP Bình Dương, OCOP 3 sao",https://kmsvina.com/,"Phở tươi thịt bò hầm có những sợi phở trắng, thơm ngon, dai cùng nước sốt đậm đà, hương vị bò thơm thơm, không phẩm màu tổng hợp. Sản phẩm đã được công nhận OCOP 3 sao năm 2023."
Bánh đa nem ăn sống Hạnh Tính,3,Bắc Ninh,Bánh đa nem,"Trong và ngoài tỉnh, sàn thương mại điện tử","Bánh đa nem ăn sống Hạnh Tính, OCOP 3 sao, OCOP Bắc Ninh, bánh đa nem",,"Bánh đa nem ăn sống Hạnh Tính mềm dẻo, không rách, dùng để gói với các nguyên liệu đã được làm chín như: thịt chân giò luộc, trứng, các loại rau thơm, củ quả là có thể ăn được giống như món gỏi. Sản phẩm đã được chứng nhận đạt OCOP 3 sao năm 2024 của huyện Yên Phong, tỉnh Bắc Ninh."
Nước mắm truyền thống Ngọc Biển,4,Quảng Bình,,"Sàn thương mại điện tử, siêu thị, hội chợ, các đại lý...","Nước mắm truyền thống Ngọc Biển, đặc sản Quảng Bình, OCOP 4 sao, OCOP Quảng Bình, nước mắm",https://nuocmamquangbinh.com/,"Nước mắm truyền thống Ngọc Biển được làm từ cá biển và muối biển cho ra những những giọt nước mắm vàng óng sóng sánh, đậm đà, ngọt mùi thơm dịu cho những bữa cơm... Sản phẩm được kiểm soát chặt chẽ từ nguồn nguyên liệu đầu vào đến khâu sản xuất chế biến, tuyệt đối không sử dụng hóa chất độc hại, chất bảo quản, đã đạt chứng nhận OCOP 4 sao của tỉnh Quảng Bình."
Cháo yến mạch đậu xanh rau nấm,3,Bình Dương,Thực phẩm chế biến,https://congtytruongtho.com/,"Cháo yến mạch đậu xanh rau nấm, OCOP 3 sao, OCOP Bình Dương, Ngũ cốc Trường Thọ, cháo yến mạch",https://congtytruongtho.com/,"Cháo yến mạch đậu xanh rau nấm được chế biến từ gạo, đậu xanh, yến mạch nguyên chất, hương vị rau nấm. Cháo tốt cho sức khỏe của mọi lứa tuổi, chay mặn đều dùng được. Sản phẩm cháo yến mạch đậu xanh rau nấm của Công ty TNHH ngũ cốc Trường Thọ được công nhận OCOP 3 sao năm 2024."
Cháo yến mạch đậu xanh hương vị gà,3,Bình Dương,Thực phẩm chế biến,"https://congtytruongtho.com/, cơ sở sản xuất, kênh bán hàng truyền thống và thương mại điện tử","cháo yến mạch, cháo yến mạch đậu xanh vị gà, OCOP Bình Dương, OCOP 3 sao, Ngũ cốc Trường Thọ",https://congtytruongtho.com/,"Cháo yến mạch đậu xanh hương vị gà của Công ty TNHH ngũ cốc Trường Thọ làm từ gạo, đậu xanh, yến mạch nguyên chất và thành phần phù hợp, không chất điều vị, không chất bảo quản. Sản phẩm đã được công nhận OCOP 3 sao năm 2024."
Hạt tiêu Phú Quý,3,Quảng Bình,Tiêu và sản phẩm từ hạt tiêu,"Sàn thương mại điện tử, siêu thị, hội chợ, các đại lý...","Hạt tiêu Phú Quý, đặc sản Quảng Bình, OCOP 3 sao, OCOP Quảng Bình, hạt tiêu",,"Hạt tiêu Phú Quý được biết đến với vị cay nồng và thơm ngon vượt trội, hạt có kích thước nhỏ nhưng độ đồng đều cao, là một thức gia vị quan trọng, không thể thiếu trong những bữa ăn. Vì vậy, hạt tiêu Phú Quý luôn đáp ứng được nhu cầu cao của thị trường tiêu dùng. Sản phẩm đạt chứng nhận OCOP 3 sao của tỉnh Quảng Bình."
Rượu Đa Lộc,3,Bình Dương,Rượu,"Cơ sở sản xuất, các đại lý, siêu thị, sàn thương mại điện tử","Rượu Đa Lộc, OCOP 3 sao, OCOP Bình Dương, Đặc sản Bình Dương",,"Rượu ngâm từ hoa Đa Lộc có vị thơm ngọt thanh mát, không gắt, đậm hậu vị. Rượu trắng được chưng cất thủ công ngâm cùng hoa Đa Lộc được chăm sóc hữu cơ tạo ra dòng sản phẩm ngon hảo hạng. Sản phẩm rượu Đa Lộc của Công ty TNHH MTV Tâm Hoàng Lộc đã được chứng nhận OCOP 3 sao năm 2023."
Hành tím muối chua bà Mai,4,Bắc Ninh,Thực phẩm chế biến,"Trong và ngoài tỉnh, sàn thương mại điện tử","Hành tím muối chua bà Mai, Hành tím muối, OCOP 4 sao, OCOP Bắc Ninh",,"Hành tím muối chua bà Mai được làm từ hành tím Lý Sơn, cà rốt, ớt, đường, muối và giấm; ăn giòn, có vị chua ngọt. Sản phẩm đã được chứng nhận đạt OCOP 4 sao năm 2024 của tỉnh Bắc Ninh."
Gạo sạch Lệ Thủy,3,Quảng Bình,,"Sàn thương mại điện tử, siêu thị, hội chợ, các đại lý...","Gạo sạch Lệ Thủy, đặc sản Quảng Bình, OCOP Quảng Bình, OCOP 3 sao",,"Gạo sạch Lệ Thủy là sản phẩm của chuỗi sản xuất lúa gạo sạch an toàn với quy trình sản xuất được kiểm soát, kiểm định chặt chẽ từ vùng nguyên liệu, giống, chăm sóc, thu hoạch, lưu trữ, chế biến... có chất lượng ngon, giàu vitamin và dưỡng chất thiết yếu. Sản phẩm của Hợp tác xã đã đạt chứng nhận OCOP 3 sao của tỉnh Quảng Bình."
Dầu lạc Trường Thủy,3,Quảng Bình,Dầu ăn,"Sàn thương mại điện tử, siêu thị, hội chợ, các đại lý...","Dầu lạc Trường Thủy, đặc sản Quảng Bình, OCOP 3 sao, OCOP Quảng Bình",,"Dầu lạc nguyên chất Trường Thủy được chế biến hoàn toàn từ hạt lạc qua quy trình sản xuất khép kín đã được chứng nhận vệ sinh an toàn thực phẩm. Đầu có màu vàng rơm, mùi thơm và vị thơm béo đặc trưng của lạc. Sản phẩm đạt chứng nhận OCOP 3 sao của tỉnh Quảng Bình."
Mật ong hoa rừng xã Thanh Hóa,3,Quảng Bình,Mật ong,"cơ sở sản xuất, các đại lý, sàn thương mại điện tử","mật ong, Mật ong hoa rừng xã Thanh Hóa, đặc sản Quảng Bình, OCOP Quảng Bình, OCOP 3 sao",,"Mật ong hoa rừng xã Thanh Hóa được áp dụng quy trình sản xuất hiện đại, từ kỹ thuật nuôi và chăm sóc phát triển đàn ong đến quy trình lấy mật, bảo đảm vệ sinh an toàn thực phẩm; có nhiều lợi ích cho sức khỏe: kháng khuẩn, kháng viêm, cải thiện tiêu hóa, tăng cường miễn dịch, chữa lành vết thương... Sản phẩm đạt chứng nhận OCOP 3 sao của tỉnh Quảng Bình."
Cải ngọt,3,Bình Dương,Rau cải,"Cơ sở sản xuất, kênh bán hàng truyền thống, thương mại điện tử","cải ngọt, OCOP Bình Dương, OCOP 3 sao",,"Hợp tác xã dịch vụ nông nghiệp Thạnh Hội được coi là một trong những mô hình sản xuất rau an toàn tiêu biểu tại xã Thạnh Hội, tỉnh Bình Dương, đặc biệt là cây cải ngọt. Cải ngọt có chất aibumin, chất đường, vitamin B1, axít bốc hơi, axít pamic, coban, iốt. Rễ và lá có nhiều chất kiềm thúc đẩy sự tiêu hóa, thúc đẩy cơ thể tiếp thu aibumin bảo vệ gan, chống mỡ trong gan. Sản phẩm cải ngọt đã được tỉnh Bình Dương cấp chứng nhận OCOP 3 sao."
